title,series,author,rating,description,language,isbn,genres,characters,bookFormat,edition,pages,publisher,publishDate,firstPublishDate,awards,numRatings,ratingsByStars,likedPercent,setting,bbeScore,bbeVotes,price
The Kite Runner,,"Khaled Hosseini (Goodreads Author), Berliani M. Nugrahani (Translator)",4.3,"The unforgettable, heartbreaking story of the unlikely friendship between a wealthy boy and the son of his father’s servant, The Kite Runner is a beautifully crafted novel set in a country that is in the process of being destroyed. It is about the power of reading, the price of betrayal, and the possibility of redemption; and an exploration of the power of fathers over sons—their love, their sacrifices, their lies.A sweeping story of family, love, and friendship told against the devastating backdrop of the history of Afghanistan over the last thirty years, The Kite Runner is an unusual and powerful novel that has become a beloved, one-of-a-kind classic.--khaledhosseini.com",English,1E+13,"['Fiction', 'Historical Fiction', 'Contemporary', 'Classics', 'Novels', 'Historical', 'Literature', 'Adult', 'Adult Fiction', 'Drama']","['Amir', 'Hassan', 'Assef', 'Bába', 'Sohrab', 'Soraya', 'Rahim Khan']",Paperback,First Riverhead trade paperback edition: May 2004,371,Riverhead Books,05/28/04,05/29/03,"['Borders Original Voices Award for Fiction (2003)', ""Humo's Gouden Bladwijzer (2008)"", 'Exclusive Books Boeke Prize (2004)', 'ALA Alex Award (2004)', 'Puddly Award for Fiction (2006)', 'Lincoln Award Nominee (2006)', 'Prix des libraires du Québec for Lauréats hors Québec (2006)', 'LovelyBooks Leserpreis Nominee for Allgemeine Literatur (2009)']",2424976,"['1264965', '781294', '268359', '70243', '40115']",95,"['Kabul (Afghanistan)', 'Fremont, California (United States)', 'Afghanistan', 'Peshawar (Pakistan)']",437288,4774,
The Handmaid's Tale,The Handmaid's Tale #1,Margaret Atwood (Goodreads Author),4.11,"Offred is a Handmaid in the Republic of Gilead. She may leave the home of the Commander and his wife once a day to walk to food markets whose signs are now pictures instead of words because women are no longer allowed to read. She must lie on her back once a month and pray that the Commander makes her pregnant, because in an age of declining births, Offred and the other Handmaids are valued only if their ovaries are viable. Offred can remember the years before, when she lived and made love with her husband, Luke; when she played with and protected her daughter; when she had a job, money of her own, and access to knowledge. But all of that is gone now . . . Funny, unexpected, horrifying, and altogether convincing, The Handmaid's Tale is at once scathing satire, dire warning, and tour de force.",English,1E+13,"['Fiction', 'Classics', 'Dystopia', 'Science Fiction', 'Feminism', 'Fantasy', 'Adult', 'Audiobook', 'Literature', 'Novels']","['The Commander', 'Offred', 'Serena Joy', 'Ofglen', 'Nick', 'Moira', 'Luke Castellan']",Paperback,1st Anchor Books edition,314,Anchor Books,04/28/98,08/28/85,"['Booker Prize Nominee (1986)', 'Nebula Award Nominee for Best Novel (1986)', 'Locus Award Nominee for Best SF Novel (1987)', 'Arthur C. Clarke Award (1987)', 'Audie Award for Fiction (2013)', 'Los Angeles Times Book Prize for Fiction (1986)', 'Prometheus Award Nominee for Best Novel (1987)', 'James Tiptree Jr. Award Nominee for Retrospective (1995)', ""Governor General's Literary Awards / Prix littéraires du Gouverneur général for Fiction (1985)"", 'SF Chronicle Award Nominee for Novel (1987)', ""Commonwealth Writers' Prize Nominee for Best Book in Caribbean and Canada (1987)"", 'CBC Canada Reads Nominee (2002)', 'Metų verstinė knyga Nominee (2012)']",1459245,"['616810', '517007', '227994', '64441', '32993']",93,"['Cambridge, Massachusetts (United States)', 'Republic of Gilead']",422994,4648,
The Giver,The Giver #1,Lois Lowry (Goodreads Author),4.13,Twelve-year-old Jonas lives in a seemingly ideal world. Not until he is given his life assignment as the Receiver does he begin to understand the dark secrets behind this fragile community.,English,9.78039E+12,"['Young Adult', 'Fiction', 'Classics', 'Dystopia', 'Science Fiction', 'Fantasy', 'School', 'Childrens', 'Middle Grade', 'Read For School']","['Rosemary (Lois Lowry)', 'Jonas (Lois Lowry)', 'The Giver (Lois Lowry)', 'Gabriel (Lois Lowry)', 'Asher (Lois Lowry)', 'Fiona (Lois Lowry)', 'Mother (Lois Lowry)', 'Father (Lois Lowry)', 'The Chief Elder (Lois Lowry)', 'Lily (Lois Lowry)']",Paperback,,208,Ember,01/24/06,04/26/93,"['Newbery Medal (1994)', ""Mythopoeic Fantasy Award Nominee for Children's Literature (1994)"", 'Golden Duck Award for Young Adult (Hal Clement Award) (1994)', 'Garden State Book Award for Teen Fiction Grades 6-8 (1996)', ""Buckeye Children's Book Award for Grade 6-8 (1997)"", 'Grand Canyon Reader Award for Teen Book (1995)', 'Maryland Black-Eyed Susan Book Award for Grade 6-9 (1995)', 'Golden Sower Award for Young Adult (1995)', ""Pennsylvania Young Readers' Choice Award for Grades 3-8 (1995)"", 'Soaring Eagle Book Award Nominee (1996)', ""Pacific Northwest Library Association Young Reader's Choice Award for Senior (1996)"", 'Boston Globe-Horn Book Award Nominee for Fiction (1993)', 'New Mexico Land of Enchantment Award (1997)', 'Eliot Rosewater Indiana High School Book Award (1997)', ""William Allen White Children's Book Award (1996)"", 'Wyoming Indian Paintbrush Nominee (1996)', ""NSK Neustadt Prize for Children's Literature Nominee (2013)"", 'Oklahoma Sequoyah Award for YA (1996)', ""Rebecca Caudill Young Readers' Book Award (1996)"", 'Hea Lasteraamat (2010)', 'Premi Protagonista Jove for Categoria 13-14 anys (2016)', 'Margaret A. Edwards Award (2007)']",1785054,"['786988', '591426', '293684', '77858', '35098']",94,[],418251,4566,7.15
Catch-22,Catch-22 #1,Joseph Heller,3.98,"The novel is set during World War II, from 1942 to 1944. It mainly follows the life of Captain John Yossarian, a U.S. Army Air Forces B-25 bombardier. Most of the events in the book occur while the fictional 256th Squadron is based on the island of Pianosa, in the Mediterranean Sea, west of Italy. The novel looks into the experiences of Yossarian and the other airmen in the camp, who attempt to maintain their sanity while fulfilling their service requirements so that they may return home.",English,9.78068E+12,"['Classics', 'Fiction', 'War', 'Historical Fiction', 'Humor', 'Literature', 'Novels', 'Unfinished', 'American', 'Historical']","['Yossarian', 'Chaplain Tappman', 'Milo Minderbinder', 'Nately']",Paperback,,453,Simon & Schuster,09-04-2004,11-10-1961,['National Book Award Finalist for Fiction (1962)'],723147,"['289501', '230048', '130390', '47160', '26048']",90,['Pianosa (Italy)'],408236,4454,3.32
Dune,Dune #1,Frank Herbert,4.23,"Set on the desert planet Arrakis, Dune is the story of the boy Paul Atreides, heir to a noble family tasked with ruling an inhospitable world where the only thing of value is the “spice” melange, a drug capable of extending life and enhancing consciousness. Coveted across the known universe, melange is a prize worth killing for...When House Atreides is betrayed, the destruction of Paul’s family will set the boy on a journey toward a destiny greater than he could ever have imagined. And as he evolves into the mysterious man known as Muad’Dib, he will bring to fruition humankind’s most ancient and unattainable dream.",English,9.78059E+12,"['Science Fiction', 'Fiction', 'Fantasy', 'Classics', 'Science Fiction Fantasy', 'Space Opera', 'Audiobook', 'Novels', 'Adventure', 'Adult']","['Stilgar', 'Vladimir Harkonnen', 'Duncan Idaho', 'Leto Atreides', 'Paul Atreides', 'Alia Atreides', 'Lady Jessica', 'Shaddam IV', 'Gurney Halleck']",Hardcover,Deluxe Edition,661,Ace Books,10-01-2019,06/28/65,"['Hugo Award for Best Novel (1966)', 'Nebula Award for Best Novel (1965)', 'Seiun Award 星雲賞 for Best Foreign Novel (1974)']",765785,"['391252', '224627', '101953', '30795', '17158']",94,"['Arrakis', 'Caladan', 'Giedi Prime', 'Harko', 'Arrakin', 'Sietch Tabr']",406837,4394,29.34
The Pillars of the Earth,Kingsbridge #1,Ken Follett (Goodreads Author),4.31,"Ken Follett is known worldwide as the master of split-second suspense, but his most beloved and bestselling book tells the magnificent tale of a twelfth-century monk driven to do the seemingly impossible: build the greatest Gothic cathedral the world has ever known.Everything readers expect from Follett is here: intrigue, fast-paced action, and passionate romance. But what makes The Pillars of the Earth extraordinary is the time the twelfth century; the place feudal England; and the subject the building of a glorious cathedral. Follett has re-created the crude, flamboyant England of the Middle Ages in every detail. The vast forests, the walled towns, the castles, and the monasteries become a familiar landscape. Against this richly imagined and intricately interwoven backdrop, filled with the ravages of war and the rhythms of daily life, the master storyteller draws the reader irresistibly into the intertwined lives of his characters into their dreams, their labors, and their loves: Tom, the master builder; Aliena, the ravishingly beautiful noblewoman; Philip, the prior of Kingsbridge; Jack, the artist in stone; and Ellen, the woman of the forest who casts a terrifying curse. From humble stonemason to imperious monarch, each character is brought vividly to life.The building of the cathedral, with the almost eerie artistry of the unschooled stonemasons, is the center of the drama. Around the site of the construction, Follett weaves a story of betrayal, revenge, and love, which begins with the public hanging of an innocent man and ends with the humiliation of a king.For the Movie tie-in edition with the same ISBN go to this Alternate Cover Edition",English,1E+13,"['Historical Fiction', 'Fiction', 'Historical', 'Fantasy', 'Classics', 'Medieval', 'Audiobook', 'British Literature', 'Novels', 'Adult']","['Thomas Becket', 'Henry II of England', 'Tom Builder', 'Prior Philip', 'Aliena', 'Jack Jackson', 'Stephen of England', 'Empress Matilda', 'William Hamleigh', 'Ellen', 'Richard of Kingsbridge', 'Alfred Builder', 'Waleran Bigod', 'Lord Percy Hamleigh', 'Lady Regan Hamleigh', 'Remigius']",Paperback,,976,NAL Trade,02-04-2002,10/28/89,[],648793,"['354788', '189091', '71541', '21183', '12190']",95,['England'],392260,4221,
The Stand,,"Stephen King (Goodreads Author), Bernie Wrightson (Illustrator)",4.34,This is the way the world ends: with a nanosecond of computer error in a Defense Department laboratory and a million casual contacts that form the links in a chain letter of death. And here is the bleak new world of the day after: a world stripped of its institutions and emptied of 99 percent of its people. A world in which a handful of panicky survivors choose sides -- or are chosen.,English,9.78039E+12,"['Horror', 'Fiction', 'Fantasy', 'Science Fiction', 'Post Apocalyptic', 'Thriller', 'Dystopia', 'Apocalyptic', 'Audiobook', 'Classics']","['Stuart Redman', 'Glenn Bateman', 'Nick Andros', 'Tom Cullen', 'Nadine Cross', 'Fran Goldsmith', 'Harold Lauder', 'Joe/Leo Rockway', 'Mother Abigail Freemantle', 'Randall Flagg', 'Trashcan Man', 'The Anti-Christ', 'Judge Farris', 'Larry Underwood', 'General William Starkey', 'Major Len Creighton', 'The Rat Man', 'Captain Trips', 'Charles D. Campion', 'Lucy Swann', 'Lloyd Henreid', 'Julie Lawry', 'Ralph Brentner', 'Dayna Jurgens', 'United States Military', 'American Law Enforcement', 'Kojak']",Hardcover,Complete & Uncut Edition,1153,Doubleday Books,05-01-1990,10-03-1978,"['Locus Award Nominee for Best SF Novel (1979)', 'World Fantasy Award Nominee for Best Novel (1979)', 'Gandalf Award Nominee (1979)', 'Balrog Award Nominee for Best Novel (1979) (1980)']",616021,"['342747', '174680', '72341', '18056', '8197']",96,"['United States of America', 'New York City, New York (United States)', 'Boulder, Colorado (United States)', 'Las Vegas, Nevada (United States)', 'Arnett, Texas (United States)', 'Pennsylvania (United States)', 'Arkansas (United States)', 'Arizona (United States)', 'Nevada (United States)', 'Idaho (United States)', 'Boulder, Colorado (United States)']",391883,4242,8.38
The Adventures of Sherlock Holmes,Sherlock Holmes #3,Arthur Conan Doyle,4.3,"The Adventures of Sherlock Holmes is the series of short stories that made the fortunes of the Strand magazine, in which they were first published, and won immense popularity for Sherlock Holmes and Dr Watson. The detective is at the height of his powers and the volume is full of famous cases, including 'The Red-Headed League', 'The Blue Carbuncle', and 'The Speckled Band'. Although Holmes gained a reputation for infallibility, Conan Doyle showed his own realism and feminism by having the great detective defeated by Irene Adler - the woman - in the very first story, 'A Scandal in Bohemia'. The editor of this volume, Richard Lancelyn Green is editor of The Uncollected Sherlock Holmes and The Further Adventures of Sherlock Holmes. With John Michael Gibson, he compiled the Soho Series Bibliography of A. Conan Doyle.",English,1E+13,"['Classics', 'Mystery', 'Fiction', 'Short Stories', 'Crime', 'Detective', 'Literature', 'Mystery Thriller', 'Adventure', 'Audiobook']","['Inspector Lestrade', 'Irene Adler', 'Sherlock Holmes', 'Dr. John Watson']",Paperback,,389,Oxford University Press,10/22/98,10/28/92,[],243129,"['117755', '87926', '31440', '4287', '1721']",98,[],376044,4217,
Watership Down,Watership Down #1,Richard Adams,4.06,"Librarian's note: See alternate cover edition of ISBN13 9780380395866 here.Set in England's Downs, a once idyllic rural landscape, this stirring tale of adventure, courage and survival follows a band of very special creatures on their flight from the intrusion of man and the certain destruction of their home. Led by a stouthearted pair of friends, they journey forth from their native Sandleford Warren through the harrowing trials posed by predators and adversaries, to a mysterious promised land and a more perfect society.",English,9.78038E+12,"['Classics', 'Fiction', 'Fantasy', 'Young Adult', 'Animals', 'Childrens', 'Adventure', 'Literature', 'Novels', 'Audiobook']","['Bigwig', 'Fiver', 'El-Ahrairah', 'Hazel', 'Pipkin', 'Blackberry', 'Dandelion', 'Hyzenthlay', 'Frith', 'Silver (Watership Down)', 'Kehaar', 'General Woundwort']",Mass Market Paperback,,478,Avon Books,06/28/75,11/28/72,"['Mythopoeic Fantasy Award Nominee (1975)', ""Guardian Children's Fiction Prize (1973)"", 'Audie Award Nominee for Best Male Narrator (2020)', 'Boston Globe-Horn Book Award (1975)', 'California Young Readers Medal for Young Adult (1977)', 'Carnegie Medal (1972)']",433754,"['186896', '138225', '71104', '22250', '15279']",91,"['Watership Down, Hampshire (United Kingdom)']",371182,4058,5.25
Great Expectations,,"Charles Dickens, Παυλίνα Παμπούδη (Translator), Marisa Sestino (Translator)",3.78,"'In what may be Dickens's best novel, humble, orphaned Pip is apprenticed to the dirty work of the forge but dares to dream of becoming a gentleman — and one day, under sudden and enigmatic circumstances, he finds himself in possession of ""great expectations."" In this gripping tale of crime and guilt, revenge and reward, the compelling characters include Magwitch, the fearful and fearsome convict; Estella, whose beauty is excelled only by her haughtiness; and the embittered Miss Havisham, an eccentric jilted bride",English,9.78019E+12,"['Classics', 'Fiction', 'Literature', 'Historical Fiction', 'School', 'Novels', '19th Century', 'Classic Literature', 'British Literature', 'Victorian']","['Miss Havisham', 'Philip ""Pip"" Pirrip', 'Joseph ""Joe"" Gargery', 'Abel Magwitch', 'Herbert Pocket', 'John Wemmick', 'Dolge Orlick', 'Jaggers', 'Estella', 'Compeyson']",Paperback,Oxford World's Classics,505,Oxford University Press,10/28/98,07/28/61,"['Audie Award for Classic (2010)', 'Премія імені Максима Рильського (1993)']",651506,"['200286', '218262', '149650', '54551', '28757']",87,[],367399,4225,0.85
Little Women,Little Women #1,Louisa May Alcott,4.09,"Generations of readers young and old, male and female, have fallen in love with the March sisters of Louisa May Alcott’s most popular and enduring novel, Little Women. Here are talented tomboy and author-to-be Jo, tragically frail Beth, beautiful Meg, and romantic, spoiled Amy, united in their devotion to each other and their struggles to survive in New England during the Civil War.It is no secret that Alcott based Little Women on her own early life. While her father, the freethinking reformer and abolitionist Bronson Alcott, hobnobbed with such eminent male authors as Emerson, Thoreau, and Hawthorne, Louisa supported herself and her sisters with ""woman’s work,” including sewing, doing laundry, and acting as a domestic servant. But she soon discovered she could make more money writing. Little Women brought her lasting fame and fortune, and far from being the ""girl’s book” her publisher requested, it explores such timeless themes as love and death, war and peace, the conflict between personal ambition and family responsibilities, and the clash of cultures between Europe and America.",English,9.78045E+12,"['Classics', 'Fiction', 'Historical Fiction', 'Young Adult', 'Romance', 'Historical', 'Literature', 'Childrens', 'Classic Literature', 'Novels']","['Marmee', 'Meg March', 'Beth March', 'Amy March', 'Laurie Laurence', 'Mr. Laurence', 'Professor Bhaer', 'Mr. March', 'Hannah Brown', 'Aunt March', 'John Brooke', 'Jo March']",Paperback,,449,Signet Classics,04-06-2004,09/30/68,[],1681583,"['721282', '541255', '299023', '82023', '38000']",93,"['Concord, Massachusetts (United States)', 'Massachusetts (United States)', 'London, England', 'New England (United States)']",354812,4063,5.51
The Bell Jar,,Sylvia Plath,4.01,"The Bell Jar chronicles the crack-up of Esther Greenwood: brilliant, beautiful, enormously talented, and successful, but slowly going under—maybe for the last time. Sylvia Plath masterfully draws the reader into Esther's breakdown with such intensity that Esther's insanity becomes completely real and even rational, as probable and accessible an experience as going to the movies. Such deep penetration into the dark and harrowing corners of the psyche is an extraordinary accomplishment and has made The Bell Jar a haunting American classic.",English,1E+13,"['Classics', 'Fiction', 'Feminism', 'Mental Health', 'Psychology', 'Mental Illness', 'Literature', 'Novels', 'Poetry', 'Adult']","['Constantin', 'Esther Greenwood', 'Valerie', 'Marco', 'Mrs. Greenwood', 'Buddy Willard', 'Doctor Nolan', 'Joan Gilling', 'Jay Cee', 'Betsy', 'Irwin', 'Doctor Gordon', 'Philomena Guinea', 'Mrs. Willard', 'Lenny Shepherd', 'Dodo Conway', 'Eric', 'Doreen']",Paperback,First Harper Perennial Modern Classics Deluxe Edition (US),294,Harper Perennial Modern Classics,10/28/06,01/28/63,[],591175,"['215731', '217154', '117286', '30249', '10755']",93,"['Boston, Massachusetts (United States)', 'New York City, New York (United States)']",351517,3860,
Harry Potter and the Deathly Hallows,Harry Potter #7,J.K. Rowling,4.62,"Harry Potter is leaving Privet Drive for the last time. But as he climbs into the sidecar of Hagrid’s motorbike and they take to the skies, he knows Lord Voldemort and the Death Eaters will not be far behind.The protective charm that has kept him safe until now is broken. But the Dark Lord is breathing fear into everything he loves. And he knows he can’t keep hiding.To stop Voldemort, Harry knows he must find the remaining Horcruxes and destroy them.He will have to face his enemy in one final battle.--jkrowling.com",English,9.78055E+12,"['Fantasy', 'Young Adult', 'Fiction', 'Magic', 'Childrens', 'Adventure', 'Audiobook', 'Middle Grade', 'Classics', 'Science Fiction Fantasy']","['Sirius Black', 'Draco Malfoy', 'Ron Weasley', 'Petunia Dursley', 'Vernon Dursley', 'Dudley Dursley', 'Severus Snape', 'Rubeus Hagrid', 'Lord Voldemort', 'Minerva McGonagall', 'Neville Longbottom', 'Fred Weasley', 'George Weasley', 'Percy Weasley', 'Ginny Weasley', 'Colin Creevey', 'Filius Flitwick', 'Lucius Malfoy', 'Pomona Sprout', 'Arthur Weasley', 'Molly Weasley', 'Cho Chang', 'Remus Lupin', 'Sybil Trelawney', 'Peter Pettigrew', 'Oliver Wood', 'Fleur Delacour', 'Viktor Krum', 'Bellatrix Lestrange', 'Alastor Moody', 'Bill Weasley', 'Luna Lovegood', 'Nymphadora Tonks', 'Dolores Umbridge', 'Dobby', 'Kingsley Shacklebolt', 'Padma Patil', 'Parvati Patil', 'Kreacher', 'Narcissa Malfoy', 'Horace Slughorn', 'Rufus Scrimgeour', 'Dean Thomas', 'Aberforth Dumbledore', 'James Potter', 'Lily Potter', 'Xenophilius Lovegood', 'Seamus Finnigan', 'Garrick Ollivander', 'Katie Bell', 'Griphook', 'James Sirius Potter', 'Teddy Lupin', 'Hugo Weasley', 'Albus Dumbledore', 'Lily Luna Potter', 'Albus Severus Potter', 'Rose Weasley', 'Harry Potter', 'Hermione Granger', 'Lavender Brown']",Hardcover,First American Edition,759,Arthur A. Levine Books / Scholastic Inc.,07/21/07,,"['Locus Award Nominee for Best Young Adult Novel (2008)', 'Odyssey Award Nominee (2008)', 'Audie Award (2008)', 'Books I Loved Best Yearly (BILBY) Awards for Older Readers (2008)', 'Teen Read Award Nominee for Best All-Time-Fave (2010)', 'Puddly Award for Fiction (2008)', 'Andre Norton Award (2007)', 'Carnegie Medal Nominee (2008)']",2811637,"['2038930', '552014', '161906', '35042', '23745']",98,"['London, England', 'Hogwarts School of Witchcraft and Wizardry (United Kingdom)', 'Pagford (United Kingdom)']",351347,3835,2.85
One Flew Over the Cuckoo's Nest,,Ken Kesey,4.19,"Tyrannical Nurse Ratched rules her ward in an Oregon State mental hospital with a strict and unbending routine, unopposed by her patients, who remain cowed by mind-numbing medication and the threat of electric shock therapy. But her regime is disrupted by the arrival of McMurphy – the swaggering, fun-loving trickster with a devilish grin who resolves to oppose her rules on behalf of his fellow inmates. His struggle is seen through the eyes of Chief Bromden, a seemingly mute half-Indian patient who understands McMurphy's heroic attempt to do battle with the powers that keep them imprisoned. Ken Kesey's extraordinary first novel is an exuberant, ribald and devastatingly honest portrayal of the boundaries between sanity and madness.",English,1E+13,"['Classics', 'Fiction', 'Literature', 'Psychology', 'Novels', 'School', 'Mental Health', 'American', 'Mental Illness', 'Contemporary']","['Chief Bromden', 'Randle Patrick McMurphy', 'Nurse Ratched', 'William ""Billy"" Bibbit', 'Charles Cheswick', 'Dale Harding', 'Doctor Spivey', 'Bruce Fredrickson', 'James ""Jim"" Sefelt', 'Scanlon', 'Martini']",Mass Market Paperback,US / CAN,325,Signet,02-01-1963,10/28/62,[],630948,"['277909', '232001', '93436', '19835', '7767']",96,"['Oregon (United States)', 'Salem, Oregon (United States)', 'United States of America']",350693,3973,
Anna Karenina,,"Leo Tolstoy, Aylmer Maude (Translator), Lev Tolstoi, Louise Maude (Translator), George Gibian (Preface)",4.05,"Acclaimed by many as the world's greatest novel, Anna Karenina provides a vast panorama of contemporary life in Russia and of humanity in general. In it Tolstoy uses his intense imaginative insight to create some of the most memorable characters in all of literature. Anna is a sophisticated woman who abandons her empty existence as the wife of Karenin and turns to Count Vronsky to fulfil her passionate nature - with tragic consequences. Levin is a reflection of Tolstoy himself, often expressing the author's own views and convictions.Throughout, Tolstoy points no moral, merely inviting us not to judge but to watch. As Rosemary Edmonds comments, 'He leaves the shifting patterns of the kaleidoscope to bring home the meaning of the brooding words following the title, 'Vengeance is mine, and I will repay.",English,1E+13,"['Classics', 'Fiction', 'Romance', 'Russia', 'Historical Fiction', 'Literature', 'Russian Literature', 'Novels', '19th Century', 'Classic Literature']","['Princess Ekaterina ""Kitty"" Aleksandrovna Shcherbatskaya', 'Anna Arkadyevna Karenina', 'Count Aleksei Kirillovich Vronsky', 'Konstantin ""Kostya"" Dmitrievitch Levin', 'Prince Stepan ""Stiva"" Arkadyevitch Oblonsky']",Paperback,Movie Tie-In Edition,964,Vintage,10/16/12,10/28/77,['PEN Translation Prize for Richard Pevear & Larissa Volokhonsky (2002)'],681953,"['283318', '223682', '120596', '36847', '17510']",92,['Russia'],348162,3815,
Outlander,Outlander #1,Diana Gabaldon (Goodreads Author),4.23,"The year is 1945. Claire Randall, a former combat nurse, is just back from the war and reunited with her husband on a second honeymoon when she walks through a standing stone in one of the ancient circles that dot the British Isles. Suddenly she is a Sassenach—an “outlander”—in a Scotland torn by war and raiding border clans in the year of Our Lord...1743. Hurled back in time by forces she cannot understand, Claire is catapulted into the intrigues of lairds and spies that may threaten her life, and shatter her heart. For here James Fraser, a gallant young Scots warrior, shows her a love so absolute that Claire becomes a woman torn between fidelity and desire—and between two vastly different men in two irreconcilable lives.",English,9.78044E+12,"['Historical Fiction', 'Romance', 'Fantasy', 'Fiction', 'Time Travel', 'Historical', 'Historical Romance', 'Adult', 'Audiobook', 'Scotland']","['Jamie Fraser', 'Ian Murray', 'Claire Randall Fraser', 'Jonathan Randall', 'Dougal MacKenzie', 'Colum MacKenzie', 'Geillis Duncan', 'Jenny Murray', 'Frank Randall', 'Laoghaire MacKenzie', 'Murtagh Fraser']",Mass Market Paperback,,850,Dell Publishing Company,07/26/05,06-01-1991,"['RITA Award by Romance Writers of America for Best Romance of 1991 & nominee for Best First Book & nominee for Single Title Historical Romance (1992)', 'Puddly Award for Romance (2001)']",824014,"['449748', '207613', '100271', '37903', '28479']",92,"['Lallybroch, Scotland (United Kingdom)', 'Scottish Highlands', 'Inverness, Scotland', 'Scotland']",342024,3661,5.98
My Sister's Keeper,,Jodi Picoult (Goodreads Author),4.08,"Anna is not sick, but she might as well be. By age thirteen, she has undergone countless surgeries, transfusions, and shots so that her older sister, Kate, can somehow fight the leukemia that has plagued her since childhood. The product of preimplantation genetic diagnosis, Anna was conceived as a bone marrow match for Kate—a life and a role that she has never challenged... until now. Like most teenagers, Anna is beginning to question who she truly is. But unlike most teenagers, she has always been defined in terms of her sister—and so Anna makes a decision that for most would be unthinkable, a decision that will tear her family apart and have perhaps fatal consequences for the sister she loves.A provocative novel that raises some important ethical issues, My Sister's Keeper is the story of one family's struggle for survival at all human costs and a stunning parable for all time.",English,9.78074E+12,"['Fiction', 'Contemporary', 'Chick Lit', 'Young Adult', 'Drama', 'Adult', 'Adult Fiction', 'Realistic Fiction', 'Family', 'Novels']","['Anna Fitzgerald', 'Sara Fitzgerald', 'Kate Fitzgerald', 'Brian Fitzgerald', 'Jesse Fitzgerald', 'Campbell Alexander', 'Julia Romana']",Paperback,,423,Washington Square Press,02-01-2005,04-06-2004,"['Audie Award for Multi-Voiced Performance (2005)', ""Pennsylvania Young Readers' Choice Award for Young Adults (2007)"", 'ALA Alex Award (2005)', 'Lincoln Award (2006)', 'Green Mountain Book Award (2007)', 'Missouri Gateway Readers Award Nominee (2007)']",1056676,"['427622', '372358', '188107', '48599', '19990']",94,"['United States of America', 'Providence, Rhode Island (United States)', 'Rhode Island (United States)']",340746,3751,2.76
Matilda,,"Roald Dahl, Quentin Blake (Illustrator)",4.32,"Matilda is a little girl who is far too good to be true. At age five-and-a-half she's knocking off double-digit multiplication problems and blitz-reading Dickens. Even more remarkably, her classmates love her even though she's a super-nerd and the teacher's pet. But everything is not perfect in Matilda's world. For starters she has two of the most idiotic, self-centered parents who ever lived. Then there's the large, busty nightmare of a school principal, Miss (""The"") Trunchbull, a former hammer-throwing champion who flings children at will and is approximately as sympathetic as a bulldozer. Fortunately for Matilda, she has the inner resources to deal with such annoyances: astonishing intelligence, saintly patience, and an innate predilection for revenge.She warms up with some practical jokes aimed at her hapless parents, but the true test comes when she rallies in defense of her teacher, the sweet Miss Honey, against the diabolical Trunchbull. There is never any doubt that Matilda will carry the day. Even so, this wonderful story is far from predictable. Roald Dahl, while keeping the plot moving imaginatively, also has an unerring ear for emotional truth. The reader cares about Matilda because in addition to all her other gifts, she has real feelings.",English,9.78014E+12,"['Childrens', 'Fiction', 'Classics', 'Fantasy', 'Young Adult', 'Middle Grade', 'Humor', 'Audiobook', 'Magic', 'Juvenile']","['Matilda Wormwood', 'Miss Honey', 'Miss Trunchbull']",Paperback,,240,Puffin Books,06-01-1998,10-01-1988,"['Odyssey Award Nominee (2014)', 'Prijs van de Nederlandse Kinderjury for 10-12 jaar en 13-16 jaar (1989)', ""Audie Award for Children's Titles Ages 8-12 (2014)"", 'Books I Loved Best Yearly (BILBY) Awards for Read Aloud (1990), Younger Readers (1997) (1990)', ""West Australian Young Readers' Book Award (WAYRBA) for Younger Readers (1989)"", ""Blue Peter Book Award for Voter's Award - Book that Made Me Laugh the Loudest (2000)"", ""Red House Children's Book Award (1989)"", 'Maryland Black-Eyed Susan Book Award for Book Award (1992)', ""Massachusetts Children's Book Award (1992)"", ""Nevada Young Readers' Award for Intermediate Category  (1992)"", ""Beehive Book Award for Children's Fiction (1991)"", 'Indian Paintbrush Book Award (1991)', 'Bluestem Book Award Nominee (2016)', ""Virginia Reader's Choice for Elementary (1990)"", ""Rebecca Caudill Young Readers' Book Award (1991)""]",647667,"['340257', '203271', '82637', '14606', '6896']",97,['United Kingdom'],339882,3789,6.01
